,Network filename,N,NP,NN,PP,SM,SF,SF%,M,IF%
0,./data/networks/12_5.txt,12,5,1133,0.0,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,betweenness,11330,10%,LinearThresholdModel,100.0000%
