Network,Nodes count,PP,Measure,Seeds count,SF,IF,Iterations count
4_1.txt,4941,0.1,degree,247,5,8.18,3
4_1.txt,4941,0.1,degree,494,10,14.45,3
4_1.txt,4941,0.1,degree,1235,25,31.23,3
4_1.txt,4941,0.2,degree,247,5,12.91,4
4_1.txt,4941,0.2,degree,494,10,20.99,5
4_1.txt,4941,0.2,degree,1235,25,39.08,4
4_1.txt,4941,0.3,degree,247,5,21.11,11
4_1.txt,4941,0.3,degree,494,10,29.93,7
4_1.txt,4941,0.3,degree,1235,25,47.93,6
4_1.txt,4941,0.4,degree,247,5,29.49,12
4_1.txt,4941,0.4,degree,494,10,38.84,12
4_1.txt,4941,0.4,degree,1235,25,55.33,6
4_1.txt,4941,0.5,degree,247,5,40.62,13
4_1.txt,4941,0.5,degree,494,10,48.94,9
4_1.txt,4941,0.5,degree,1235,25,63.47,6
4_1.txt,4941,0.6,degree,247,5,54.2,14
4_1.txt,4941,0.6,degree,494,10,59.72,13
4_1.txt,4941,0.6,degree,1235,25,71.06,6
4_1.txt,4941,0.7,degree,247,5,69.1,17
4_1.txt,4941,0.7,degree,494,10,72.54,13
4_1.txt,4941,0.7,degree,1235,25,79.66,9
4_1.txt,4941,0.8,degree,247,5,80.21,15
4_1.txt,4941,0.8,degree,494,10,82.13,11
4_1.txt,4941,0.8,degree,1235,25,86.14,9
4_1.txt,4941,0.9,degree,247,5,91.86,15
4_1.txt,4941,0.9,degree,494,10,92.21,11
4_1.txt,4941,0.9,degree,1235,25,93.44,9
4_1.txt,4941,0.1,closeness,247,5,5.81,2
4_1.txt,4941,0.1,closeness,494,10,11.39,3
4_1.txt,4941,0.1,closeness,1235,25,26.67,3
4_1.txt,4941,0.2,closeness,247,5,7.47,5
4_1.txt,4941,0.2,closeness,494,10,13.34,4
4_1.txt,4941,0.2,closeness,1235,25,29.27,6
4_1.txt,4941,0.3,closeness,247,5,11.74,13
4_1.txt,4941,0.3,closeness,494,10,17.12,8
4_1.txt,4941,0.3,closeness,1235,25,33.74,9
4_1.txt,4941,0.4,closeness,247,5,18.07,15
4_1.txt,4941,0.4,closeness,494,10,24.95,15
4_1.txt,4941,0.4,closeness,1235,25,40.23,13
4_1.txt,4941,0.5,closeness,247,5,27.3,19
4_1.txt,4941,0.5,closeness,494,10,32.93,13
4_1.txt,4941,0.5,closeness,1235,25,47.52,13
4_1.txt,4941,0.6,closeness,247,5,45.66,23
4_1.txt,4941,0.6,closeness,494,10,50.05,22
4_1.txt,4941,0.6,closeness,1235,25,59.87,23
4_1.txt,4941,0.7,closeness,247,5,66.34,33
4_1.txt,4941,0.7,closeness,494,10,67.38,27
4_1.txt,4941,0.7,closeness,1235,25,71.71,18
4_1.txt,4941,0.8,closeness,247,5,77.74,24
4_1.txt,4941,0.8,closeness,494,10,78.38,18
4_1.txt,4941,0.8,closeness,1235,25,81.32,14
4_1.txt,4941,0.9,closeness,247,5,91.76,22
4_1.txt,4941,0.9,closeness,494,10,92.13,19
4_1.txt,4941,0.9,closeness,1235,25,93.83,18
4_1.txt,4941,0.1,random,247,5,6.42,3
4_1.txt,4941,0.1,random,494,10,12.45,3
4_1.txt,4941,0.1,random,1235,25,29.99,4
4_1.txt,4941,0.2,random,247,5,9.96,5
4_1.txt,4941,0.2,random,494,10,17.81,7
4_1.txt,4941,0.2,random,1235,25,39.53,6
4_1.txt,4941,0.3,random,247,5,17.71,12
4_1.txt,4941,0.3,random,494,10,28.25,9
4_1.txt,4941,0.3,random,1235,25,50.52,8
