X,Y,Decoded address
50.42954,11.06389,"Fabrikantensteig, Rauenstein, Frankenblick, Landkreis Sonneberg, Turyngia, 96528, Niemcy"
45.8696,11.11507,"Pozza, Trambileno, Comunità della Vallagarina, Provincia di Trento, Trydent-Górna Adyga, Włochy"
53.79535,11.40206,"Glashagen, Bobitz, Dorf Mecklenburg-Bad Kleinen, Nordwestmecklenburg, Meklemburgia-Pomorze Przednie, 23996, Niemcy"
48.67839,18.15335,"Veľké Hoste, okres Bánovce nad Bebravou, Kraj trenczyński, Zachodnia Słowacja, 956 38, Słowacja"
48.37439,25.04369,"30-річчя Перемоги вулиця, Спас, Mykietyńce, Косівська міська громада, Rejon kosowski, Obwód iwanofrankiwski, 78634, Ukraina"
51.2476,23.38292,"99, Pniówno, gmina Wierzbica, powiat chełmski, województwo lubelskie, 22-150, Polska"
50.58718,16.10604,"Pod Zvětralým vrchem (rozc.), 30116, Horní Vernéřovice, Janovice u Trutnova, Jívka, okres Trutnov, Kraj hradecki, Północno-wschodni, 542 13, Czechy"
49.51149,16.20166,"14, Blažejovice u Rozsoch, Rozsochy, okres Žďár nad Sázavou, Kraj Wysoczyna, Południowo-wschodni, 592 57, Czechy"
50.23352,23.20287,"Grobla, Nowe Sioło, gmina Cieszanów, powiat lubaczowski, województwo podkarpackie, 37-611, Polska"
47.86241,15.84362,"Reischergraben, Gemeinde Gutenstein, Bezirk Wiener Neustadt, Dolna Austria, 2770, Austria"
52.14163,10.01739,"B 6, Uppen, Achtum-Uppen, Hildesheim, Landkreis Hildesheim, Dolna Saksonia, 31135, Niemcy"
52.38636,15.20786,"Ośrodek Szkolenia Poligonowego Wojsk Lądowych Wędrzyn, gmina Sulęcin, powiat sulęciński, województwo lubuskie, Polska"
53.35019,23.21191,"Sobaczewo, Niemczyn, gmina Czarna Białostocka, powiat białostocki, województwo podlaskie, Polska"
52.72357,16.35316,"Szklarnia, gmina Wronki, powiat szamotulski, województwo wielkopolskie, 64-510, Polska"
46.10631,20.69507,"Saravale, Timiș, 307387, Rumunia"
49.52203,15.2307,"12924, Haštal, Želiv, Vřesník, Želiv, okres Pelhřimov, Kraj Wysoczyna, Południowo-wschodni, 394 44, Czechy"
51.06113,19.87155,"Sahara, Łączkowice, gmina Masłowice, powiat radomszczański, województwo łódzkie, Polska"
53.76479,25.25097,"Н6167, Jeremiewicze, Тарноўскі сельскі Савет, rejon lidzki, Obwód grodzieński, 231308, Białoruś"
47.80672,17.08787,"Zachodni Kraj Zadunajski, Dunántúl, 9241, Węgry"
52.88686,23.82462,"Kolonia Siemianówka, Siemianówka, gmina Narewka, powiat hajnowski, województwo podlaskie, 17-220, Polska"
46.73776,11.39512,"25A, Sarntal - Sarentino, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trydent-Górna Adyga, Włochy"
46.84702,10.55226,"Goldweg Abstieg, Gemeinde Nauders, Bezirk Landeck, Tyrol, 6543, Austria"
46.3901,14.61246,"Zabrložnica, Solčava, Słowenia"
52.95392,10.23721,"Brambostel, Wriedel, Samtgemeinde Bevensen-Ebstorf, Uelzen, Dolna Saksonia, Niemcy"
47.48126,23.1094,"Săliște, Băsești, Maramureș, 437032, Rumunia"
48.95524,11.89339,"Naturwaldreservat, KEH 25, Frauenforst, Landkreis Kelheim, Bawaria, 93309, Niemcy"
49.30983,12.58739,"Bawaria, 93482, Niemcy"
53.39769,24.02885,"Эйсмантаўскі сельскі Савет, rejon brzostowicki, Obwód grodzieński, Białoruś"
53.15674,16.71589,"7, Szybowników, Górne, Piła, powiat pilski, województwo wielkopolskie, 64-920, Polska"
48.73663,15.89955,"Tennisplatz, L1059, Obermarkersdorf, Gemeinde Schrattenthal, Bezirk Hollabrunn, Dolna Austria, 2073, Austria"
51.8004,10.71267,"Thumkuhlental, Wernigerode, Landkreis Harz, Saksonia-Anhalt, Niemcy"
51.53649,12.80927,"Alte Schulstraße, Wildenhain, Mockrehna, Nordsachsen, Saksonia, 04862, Niemcy"
48.95462,21.94071,"89, Kochanovce, Powiat Humenné, Kraj preszowski, Wschodnia Słowacja, 066 01, Słowacja"
50.42269,14.42255,"261, Liběchov, okres Mělník, Kraj ustecki, Czechy Środkowe, 277 03, Czechy"
52.32023,21.922,"Krypy, gmina Liw, powiat węgrowski, województwo mazowieckie, 07-111, Polska"
49.33433,9.9805,"L 1001, Schrozberg, Landkreis Schwäbisch Hall, Badenia-Wirtembergia, 74575, Niemcy"
45.91253,23.6029,"Sebeș, Alba, Rumunia"
47.89692,17.62966,"U majera Bendő, Vrakúň, okres Dunajská Streda, Kraj trnawski, Zachodnia Słowacja, 929 01, Słowacja"
46.74042,19.35236,"Południowa Wielka Nizina, Alföld és Észak, 6075, Węgry"
47.71247,21.00353,"Północna Wielka Nizina, Alföld és Észak, 4066, Węgry"
50.39889,11.55559,"Jägersruh-Gemäßgrund-Mulschwitzen, L 1095, Rodacherbrunn, Titschendorf, Wurzbach, Saale-Orla-Kreis, Turyngia, 07343, Niemcy"
49.81501,14.59106,"1067, Krusičany, Týnec nad Sázavou, okres Benešov, Czechy Środkowe, 257 41, Czechy"
